millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,acc_x,acc_y,acc_z,temp,press,num_satellites
# { "g_press": 101723.05, "g_temp": 27.22, "datetime": "2023-03-05T13:40:10Z", "fw_version": "0.5.0-gps-testing+git-ace6d66" }
# Switched to mode: Climb
1371132,282634828,-821446120,496780,447.9746,53843,-10350,3544306,1.043,-0.094,0.336,27.72,96650,4
1371188,282635450,-821445912,496053,448.32993,54184,-9342,3440980,1.004,-0.094,0.285,27.72,96646,4
1371245,282635776,-821445714,496994,448.6494,54175,-9177,3447665,0.934,-0.086,0.281,27.72,96642,4
1371301,282635939,-821445486,499219,449.08185,54288,-9037,3432088,0.852,-0.082,0.309,27.72,96638,4
1371357,282636147,-821445287,500524,449.24988,55274,-8159,3336381,0.809,-0.082,0.359,27.72,96636,4
1371413,282636335,-821445103,501185,449.5253,54940,-8363,3373839,0.797,-0.094,0.379,27.72,96633,4
1371469,282636576,-821444934,501085,449.99905,54688,-8447,3412072,0.828,-0.102,0.363,27.73,96628,4
1371525,282636866,-821444758,501102,450.33508,54599,-8533,3437505,0.871,-0.105,0.336,27.72,96624,4
1371581,282636376,-821445311,480670,451.26053,53535,-7048,3428271,0.922,-0.059,0.320,27.72,96614,5
1371637,282636417,-821445375,473911,451.26053,53567,-7326,3429263,0.949,-0.039,0.316,27.72,96614,5
1371693,282636542,-821445312,471010,451.96014,53393,-6719,3441379,0.992,-0.047,0.359,27.72,96606,5
1371749,282636721,-821445201,469658,452.1915,53252,-6219,3418289,1.039,-0.070,0.383,27.72,96603,5
1371805,282636898,-821445063,469042,452.3072,53371,-5787,3394615,1.062,-0.113,0.391,27.73,96602,5
1371861,282637094,-821444933,468182,452.53027,53807,-6214,3421961,1.070,-0.141,0.367,27.73,96599,5
1371917,282637278,-821444789,467832,452.7534,53996,-6513,3378272,1.004,-0.141,0.301,27.73,96597,5
1371973,282637468,-821444641,467485,453.41718,53936,-6078,3377677,0.938,-0.113,0.305,27.73,96590,5
1372029,282637658,-821444494,467078,453.95428,53776,-5980,3386732,0.863,-0.086,0.324,27.73,96584,5
1372085,282637793,-821444335,467141,454.46384,53515,-6464,3431419,0.816,-0.094,0.332,27.73,96578,6
1372141,282637970,-821444182,466884,454.90176,53656,-6028,3400896,0.832,-0.090,0.340,27.73,96573,5
1372197,282638149,-821444054,465912,454.90176,54029,-6071,3370661,0.840,-0.066,0.344,27.73,96573,5
1372253,282638325,-821443924,464913,455.21027,54032,-5988,3373478,0.871,-0.031,0.332,27.73,96570,5
1372309,282638457,-821443769,464793,455.54077,53781,-6042,3396360,0.914,-0.016,0.348,27.73,96566,6
1372365,282638598,-821443622,464394,455.92365,53669,-6353,3405918,0.980,-0.059,0.371,27.73,96562,6
1372421,282638750,-821443458,464515,456.21008,53590,-6301,3421103,1.047,-0.086,0.387,27.73,96559,6
1372477,282638912,-821443308,464143,456.59018,53736,-6253,3398875,1.070,-0.133,0.332,27.73,96554,6
1372533,282639076,-821443150,464059,457.09424,53463,-6479,3430561,1.051,-0.137,0.305,27.73,96549,6
1372589,282639242,-821442993,463992,457.50464,53178,-6669,3455923,1.008,-0.137,0.340,27.73,96544,6
1372645,282639423,-821442831,464026,457.7305,53331,-6470,3443566,0.941,-0.117,0.348,27.73,96542,6
1372701,282639603,-821442676,463905,458.26758,53554,-6304,3403276,0.852,-0.098,0.305,27.73,96536,6
1372757,282639784,-821442506,464235,458.26758,53497,-6281,3424116,0.836,-0.086,0.305,27.73,96536,6
1372813,282639963,-821442328,464744,458.70554,53419,-6252,3440457,0.855,-0.047,0.262,27.73,96531,6
1372869,282640127,-821442151,465287,459.31424,53363,-6458,3441698,0.883,-0.047,0.297,27.73,96524,6
1372925,282640293,-821441976,465793,459.5456,53432,-6340,3439433,0.902,-0.070,0.312,27.73,96522,6
1372981,282640457,-821441800,466357,459.83206,53384,-6480,3445344,0.977,-0.074,0.387,27.73,96518,6
1373037,282640615,-821441628,466783,459.9863,53563,-6392,3421034,1.035,-0.113,0.430,27.73,96517,6
1373093,282640783,-821441458,467134,460.37466,53646,-6471,3411031,1.043,-0.137,0.391,27.73,96512,6
1373149,282640950,-821441295,467248,460.83188,53553,-6419,3429630,1.031,-0.098,0.324,27.73,96507,6
1373205,282641111,-821441125,467551,461.3001,53490,-6765,3455708,1.008,-0.105,0.297,27.73,96502,6
1373261,282641285,-821440957,467818,461.87576,53638,-6521,3399966,0.938,-0.102,0.367,27.74,96496,6
1373317,282641461,-821440781,468233,461.87576,53729,-6666,3464982,0.945,-0.109,0.387,27.74,96496,6
1373373,282641642,-821440603,468831,462.29996,53628,-6460,3418526,0.906,-0.117,0.375,27.73,96491,6
1373429,282641821,-821440427,469308,462.6029,53684,-6384,3417985,0.930,-0.113,0.383,27.73,96488,6
1373485,282641999,-821440254,469760,462.88663,53698,-6197,3413391,0.973,-0.090,0.359,27.73,96484,6
1373541,282642176,-821440082,470141,463.14276,54044,-6243,3392071,0.961,-0.059,0.340,27.73,96482,6
1373597,282642346,-821439910,470545,463.41547,53913,-6345,3405167,0.969,-0.078,0.340,27.74,96479,6
1373653,282642532,-821439735,470976,463.96356,53896,-6342,3412479,1.000,-0.094,0.379,27.73,96473,6
1373709,282642721,-821439558,471442,464.3299,54115,-6270,3405815,1.023,-0.105,0.371,27.74,96468,6
1373765,282642902,-821439382,471862,464.70724,53797,-6521,3450443,0.996,-0.105,0.320,27.74,96464,6
1373821,282643097,-821439211,472123,465.3297,53814,-6246,3423692,0.891,-0.070,0.316,27.74,96457,6
1373877,282643276,-821439045,472286,465.3297,53565,-6431,3440449,0.895,-0.070,0.312,27.74,96457,6
1373933,282643454,-821438890,472102,465.8558,53269,-6375,3441356,0.871,-0.059,0.391,27.74,96452,6
1373989,282643623,-821438743,471695,466.01556,53142,-6563,3450664,0.879,-0.078,0.363,27.74,96450,6
