millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,acc_x,acc_y,acc_z,temp,press,num_satellites
# { "g_press": 101019.04, "g_temp": 30.03, "datetime": "2023-03-02T21:45:07Z", "fw_version": "0.5.0-gps-testing+git-ace6d66" }
# Switched to mode: Climb
27930318,282694996,-821439904,581300,511.6788,57668,-7036,,-0.938,-0.172,0.078,30.71,95331,4
27930429,282695871,-821438653,555064,512.1709,57076,-9343,5074816,-0.930,-0.176,0.102,30.71,95326,6
27930484,282696023,-821438350,555025,512.6463,57194,-9063,5083034,-0.973,-0.145,0.082,30.71,95321,6
27930540,282696217,-821438078,555128,513.5415,57013,-8736,5097186,-0.957,-0.180,0.117,30.71,95311,6
27930596,282696423,-821437855,555682,513.5415,57047,-8674,5093400,-0.973,-0.172,0.090,30.71,95311,6
27930652,282696624,-821437650,556480,514.2032,56913,-8636,5080664,-0.988,-0.199,0.047,30.71,95304,6
27930708,282696820,-821437433,557133,514.3589,57143,-8076,5147519,-0.969,-0.215,0.023,30.71,95302,6
27930764,282697024,-821437222,557744,514.712,56899,-8101,5101059,-0.977,-0.141,0.023,30.71,95298,6
27930820,282697204,-821437006,558315,515.0845,56543,-7780,5123384,-1.027,-0.152,0.051,30.71,95294,6
27930876,282697388,-821436788,558861,515.5071,56347,-7816,5106745,-0.934,-0.164,-0.031,30.71,95289,6
27930932,282697577,-821436566,559415,515.99915,56373,-7527,5131667,-0.988,-0.160,-0.008,30.71,95284,6
27930988,282697761,-821436323,559766,516.4384,56401,-7174,5158312,-1.062,-0.137,0.031,30.71,95279,6
27931044,282697958,-821436098,560440,516.7498,56487,-7283,5159185,-1.012,-0.086,0.043,30.71,95276,6
27931100,282698145,-821435846,560737,517.67004,56546,-7168,5167315,-0.832,-0.191,-0.074,30.71,95266,6
27931156,282698328,-821435588,561030,517.67004,56470,-7128,5165463,-1.344,-0.117,0.109,30.71,95266,6
27931212,282698510,-821435329,561294,518.3512,56398,-7265,5155772,-0.816,-0.469,-0.004,30.71,95258,6
27931268,282698695,-821435074,561596,518.70703,56233,-7477,5126290,-1.770,0.000,0.258,30.71,95254,6
27931324,282698881,-821434815,561872,519.024,56510,-7317,5136783,-0.734,0.117,-0.402,30.72,95251,6
27931380,282699062,-821434552,562134,519.60504,56483,-7227,5148597,-0.844,-0.148,-0.008,30.71,95245,6
27931436,282699244,-821434297,562469,520.0721,56512,-7199,5130821,-0.922,-0.168,0.090,30.72,95240,6
27931492,282699432,-821434054,562916,520.5058,56041,-7116,5124672,-0.281,-0.523,-0.406,30.72,95235,6
27931548,282699620,-821433806,563388,520.93396,56187,-7252,5126948,-0.820,-0.539,0.176,30.71,95230,6
27931604,282699812,-821433564,563933,521.13965,56238,-7255,5106278,-0.969,-0.031,0.074,30.72,95228,6
27931660,282700005,-821433326,564493,522.6493,56220,-7184,5118980,-0.957,-0.180,0.070,30.72,95211,6
27931772,282700381,-821432831,565529,522.6493,56523,-7488,5131088,-0.949,-0.168,0.066,30.72,95211,7
27931828,282700564,-821432580,566061,522.994,56494,-7578,5153026,-0.969,-0.207,0.027,30.72,95208,7
27931884,282700743,-821432323,566471,523.4722,56515,-7276,5116566,-0.969,-0.199,0.035,30.72,95202,7
27931940,282700921,-821432063,566834,523.81415,56528,-7490,5116747,-0.969,-0.188,0.055,30.72,95199,6
27931996,282701085,-821431794,567154,524.2423,56170,-7550,5127202,-0.926,-0.168,0.074,30.72,95194,7
27932052,282701248,-821431522,567456,524.7483,56274,-7539,5129723,-0.914,-0.156,0.086,30.72,95189,7
27932108,282701407,-821431253,567778,525.246,55643,-7590,5144586,-0.961,-0.188,0.059,30.72,95183,7
27932164,282701563,-821430979,568025,525.6685,55586,-7490,5142854,-1.000,-0.176,0.074,30.72,95178,7
27932220,282701731,-821430712,568264,526.6193,56153,-7625,5104940,-0.965,-0.230,0.051,30.72,95168,6
27932276,282701885,-821430432,568441,526.6193,56208,-7639,5081665,-0.969,-0.211,0.070,30.72,95168,7
27932332,282702043,-821430154,568640,526.8501,56525,-7471,5078389,-0.941,-0.184,0.035,30.72,95166,7
27932388,282702205,-821429880,568831,527.27826,56659,-7292,5063254,-0.941,-0.156,0.062,30.72,95161,7
27932444,282702366,-821429613,569069,527.6146,55803,-7073,5056741,-0.945,-0.141,0.090,30.72,95157,7
27932500,282702526,-821429355,569345,528.0873,54886,-7029,5030619,-0.941,-0.180,0.078,30.72,95152,7
27932556,282702686,-821429104,569680,528.37085,54025,-6902,5017689,-0.945,-0.191,0.098,30.72,95149,7
27932612,282702847,-821428845,569947,528.8407,54398,-6789,5049393,-0.957,-0.211,0.105,30.72,95144,7
27932668,282703029,-821428588,570225,529.22156,55731,-7194,5001453,-0.914,-0.176,0.129,30.72,95140,6
27932724,282703198,-821428321,570474,529.53296,56318,-7517,4984737,-0.875,-0.176,0.109,30.72,95136,7
27932780,282703361,-821428061,570752,530.4198,55814,-7443,5014262,-0.895,-0.211,0.023,30.72,95127,7
27932836,282703511,-821427791,570928,530.4198,55245,-7390,5001764,-0.902,-0.266,-0.047,30.72,95127,7
27932892,282703660,-821427516,571090,531.3039,55301,-7327,5025250,-0.934,-0.188,0.078,30.72,95117,7
27932948,282703831,-821427261,571320,531.39844,55380,-6959,5049736,-0.922,-0.160,0.078,30.73,95116,6
27933004,282703988,-821426991,571555,531.8488,55382,-7165,5029781,-0.918,-0.176,0.113,30.73,95111,8
27933060,282704149,-821426724,571831,532.20746,55578,-7153,5032317,-0.961,-0.164,0.113,30.72,95107,8
27933116,282704309,-821426455,572083,532.4799,55687,-7200,5026505,-0.926,-0.156,0.121,30.73,95104,7
27933172,282704472,-821426188,572325,532.66064,55893,-7089,5008647,-0.949,-0.160,0.121,30.73,95102,7
27933228,282704654,-821425943,572741,532.9637,55815,-7672,4959225,-0.992,-0.156,0.090,30.73,95099,6
27933284,282704821,-821425683,573123,533.24445,55761,-7525,5007649,-1.066,-0.133,0.125,30.73,95096,8
27933340,282704988,-821425424,573466,533.7449,55607,-7289,5035273,-0.957,-0.148,0.102,30.73,95090,8
27933396,282705158,-821425167,573828,533.7449,55554,-7322,5035604,-0.957,-0.148,0.102,30.73,95090,8
27933452,282705329,-821424911,574196,534.1564,55496,-7449,5020182,-0.965,-0.133,0.109,30.73,95086,7
27933508,282705503,-821424660,574627,534.5233,55390,-7892,4961303,-0.969,-0.137,0.102,30.72,95082,8
27933564,282705677,-821424406,575034,534.843,55420,-7546,4993530,-0.980,-0.141,0.121,30.73,95078,8
27933620,282705847,-821424144,575327,535.1655,55456,-7512,4999143,-0.969,-0.152,0.105,30.73,95075,9
27933676,282706016,-821423882,575609,535.58813,55514,-7498,5002149,-0.953,-0.152,0.121,30.73,95070,9
27933732,282706184,-821423614,575824,535.87445,55686,-7479,5004052,-0.984,-0.137,0.117,30.73,95067,9
27933788,282706352,-821423346,576058,536.1692,55804,-7465,5010200,-0.945,-0.137,0.105,30.73,95064,9
27933844,282706525,-821423085,576263,536.32764,55733,-7345,4970468,-0.949,-0.125,0.090,30.73,95062,9
27933900,282706708,-821422830,576468,537.03937,55899,-7160,4911826,-0.965,-0.145,0.133,30.72,95054,9
27933956,282706897,-821422583,576637,537.03937,55721,-6672,4826268,-0.977,-0.145,0.117,30.72,95054,9
27934012,282707087,-821422336,576842,537.58704,55688,-6421,4787089,-0.941,-0.145,0.152,30.73,95048,9
27934068,282707274,-821422081,577118,537.85675,56206,-6621,4821146,-0.953,-0.148,0.148,30.73,95045,9
27934124,282707463,-821421826,577404,538.1598,56485,-6715,4840305,-0.945,-0.145,0.141,30.73,95042,9
27934180,282707655,-821421572,577607,538.549,56764,-6359,4831188,-0.945,-0.148,0.121,30.73,95038,9
27934236,282707849,-821421324,577929,538.70746,56795,-6618,4770173,-0.930,-0.121,0.117,30.73,95036,9
27934292,282708044,-821421079,578328,539.07166,56609,-6856,4729273,-0.949,-0.125,0.125,30.73,95032,9
27934348,282708232,-821420831,578696,539.2857,56436,-7084,4742830,-0.969,-0.117,0.113,30.73,95030,9
27934404,282708426,-821420579,578876,539.58875,56767,-6500,4728394,-0.945,-0.094,0.113,30.73,95026,9
27934460,282708612,-821420330,579041,540.28656,56359,-5799,4728775,-0.961,-0.133,0.094,30.73,95019,9
27934516,282708799,-821420082,579247,540.28656,56233,-5733,4715197,-0.953,-0.121,0.094,30.73,95019,9
27934572,282708991,-821419837,579538,540.74255,56353,-5969,4660930,-0.926,-0.129,0.117,30.73,95014,9
27934628,282709180,-821419576,579650,540.9677,56891,-5931,4636492,-0.926,-0.117,0.121,30.73,95011,9
27934684,282709357,-821419304,579665,541.35693,57286,-5634,4638856,-0.926,-0.121,0.133,30.73,95007,9
27934740,282709538,-821419040,579669,541.73785,57270,-5197,4597323,-0.941,-0.129,0.145,30.73,95003,9
27934796,282709730,-821418788,579746,541.90466,57184,-4745,4562244,-0.965,-0.164,0.148,30.73,95001,9
27934852,282709927,-821418540,579831,542.22156,57148,-4287,4525248,-0.977,-0.148,0.137,30.73,94998,9
27934908,282710131,-821418296,579953,542.4579,57286,-3839,4485591,-0.969,-0.141,0.125,30.73,94995,9
27934964,282710339,-821418053,580052,542.65247,57650,-3283,4417950,-0.984,-0.148,0.125,30.73,94993,9
27935020,282710536,-821417806,580112,543.03613,57499,-3994,4461675,-0.992,-0.160,0.133,30.73,94989,9
27935076,282710732,-821417559,580200,543.1696,57315,-4448,4483638,-0.984,-0.160,0.125,30.73,94987,9
27935132,282710926,-821417314,580307,543.45593,57055,-4721,4494765,-1.000,-0.156,0.129,30.74,94984,9
27935188,282711118,-821417072,580439,543.6311,56635,-5319,4526644,-1.008,-0.133,0.109,30.73,94982,9
27935244,282711316,-821416834,580696,543.8201,56458,-5544,4538524,-1.008,-0.152,0.117,30.74,94980,9
