millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,acc_x,acc_y,acc_z,temp,press,num_satellites
# { "g_press": 101298.08, "g_temp": 29.41, "datetime": "2023-03-04T19:52:36Z", "fw_version": "0.5.0-gps-testing+git-ace6d66" }
# Switched to mode: Climb
34805142,282553547,-821472427,396841,372.8209,42255,23772,3449349,0.930,0.250,0.273,29.87,97107,4
34805307,282554209,-821471995,397869,373.00955,41394,22844,3504502,0.918,0.242,0.250,29.87,97105,4
34805360,282554421,-821471895,400590,373.4923,41247,22788,3475767,0.914,0.254,0.270,29.87,97099,4
34805416,282554623,-821471820,400579,373.82245,41290,22703,3479621,0.938,0.250,0.262,29.87,97096,4
34805472,282554839,-821471705,399964,376.11414,41230,22659,3467860,0.922,0.285,0.293,29.87,97071,4
34805528,282555038,-821471570,398827,376.11414,41197,22638,3462380,0.914,0.285,0.316,29.87,97071,4
34805584,282555221,-821471447,396699,376.26675,41309,22560,3480489,0.918,0.281,0.266,29.87,97069,4
34805640,282555394,-821471330,394993,376.66348,41309,22560,3480453,0.941,0.305,0.289,29.87,97065,3
34805696,282555566,-821471206,393568,376.66348,41309,22559,3480413,0.926,0.289,0.293,29.87,97065,3
34805920,282556249,-821470700,387800,377.42645,41307,22558,3479855,0.930,0.289,0.281,29.87,97056,3
34805976,282556417,-821470576,386429,377.93695,41306,22558,3479614,0.918,0.293,0.266,29.87,97051,3
34806032,282556585,-821470455,385004,378.3892,41304,22557,3479129,0.922,0.309,0.262,29.88,97046,3
34806088,282556754,-821470330,383784,378.50293,41303,22557,3478910,0.910,0.258,0.250,29.88,97044,3
34806144,282556923,-821470206,382559,379.01343,41302,22557,3478613,0.918,0.293,0.246,29.88,97039,3
34806200,282557093,-821470079,381334,379.76532,41302,22557,3478280,0.902,0.277,0.246,29.88,97031,3
34806256,282557262,-821469951,380037,379.76532,41300,22557,3477960,0.898,0.277,0.223,29.88,97031,3
34806312,282557431,-821469825,378670,380.33963,41296,22556,3476958,0.914,0.277,0.242,29.88,97024,3
34806368,282557605,-821469696,377450,380.6115,41294,22553,3475780,0.895,0.250,0.215,29.88,97021,3
34806424,282557783,-821469563,376348,381.19415,41295,22550,3474769,0.922,0.242,0.230,29.87,97015,3
34806480,282557959,-821469431,375284,381.6464,41298,22548,3474271,0.895,0.277,0.223,29.88,97010,3
34806536,282558138,-821469296,374328,382.23456,41305,22545,3473861,0.879,0.219,0.215,29.87,97003,3
34806592,282558316,-821469160,373313,382.71732,41311,22542,3473491,0.895,0.242,0.238,29.87,96998,3
34806648,282558493,-821469023,372275,382.97534,41319,22541,3473870,0.859,0.230,0.207,29.88,96995,3
34806704,282558667,-821468888,371120,383.44144,41323,22541,3473981,0.887,0.219,0.242,29.87,96990,3
34806760,282558840,-821468755,369929,384.1628,41324,22540,3473374,0.902,0.230,0.254,29.87,96982,3
34806816,282559012,-821468623,368717,384.1628,41325,22541,3473175,0.906,0.234,0.266,29.87,96982,3
34806872,282559184,-821468491,367513,384.50684,41327,22541,3472687,0.898,0.191,0.223,29.87,96978,3
34806928,282559355,-821468361,366167,384.65942,41316,22536,3470237,0.949,0.258,0.281,29.87,96977,3
34806984,282559523,-821468233,364753,384.90912,41301,22533,3467644,0.910,0.270,0.273,29.88,96974,3
34807040,282559692,-821468102,363387,385.23373,41290,22532,3466286,0.930,0.270,0.301,29.88,96970,3
34807096,282559864,-821467968,362117,385.62772,41291,22534,3466736,0.895,0.223,0.270,29.87,96966,3
34807152,282560035,-821467835,360824,386.02444,41285,22530,3465548,0.906,0.246,0.297,29.87,96962,3
34807208,282560206,-821467704,359477,386.2797,41272,22525,3463210,0.891,0.254,0.277,29.87,96959,3
