millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,acc_x,acc_y,acc_z,temp,press,num_satellites
# { "g_press": 91879.36, "g_temp": 21.70, "datetime": "2023-04-21T07:36:21Z", "fw_version": "0.5.0-gps-testing+git-ace6d66" }
# Switched to mode: Climb
3732757,430288327,17373352,2605496,1858.547,36428,-8381,28368557,0.980,-0.098,0.211,22.99,73745,6
3732813,430288430,17373112,2606420,1858.7795,36506,-8370,28356766,0.984,-0.164,0.172,22.99,73743,6
3732869,430288425,17372893,2607039,1859.6637,36414,-8282,28330055,1.031,-0.125,0.184,22.99,73735,6
3732925,430288442,17372660,2607498,1859.6637,36478,-7948,28356055,1.027,-0.062,0.117,22.99,73735,6
3732981,430288473,17372409,2607691,1860.4019,36710,-7292,28326921,0.973,-0.105,0.152,22.99,73729,6
3733037,430288531,17372136,2607781,1860.5505,36984,-6882,28324258,0.957,-0.145,0.043,22.99,73727,6
3733093,430288568,17371866,2607855,1860.7668,37423,-5962,28331082,0.965,-0.156,0.219,22.99,73725,6
3733149,430288605,17371598,2607858,1861.0859,37562,-5555,28331461,0.918,-0.090,0.160,22.99,73723,6
3733205,430288647,17371330,2607882,1861.4374,37567,-5186,28326104,0.898,-0.078,0.113,22.99,73719,6
3733261,430288696,17371062,2607901,1861.8267,37259,-4795,28296903,0.961,-0.055,0.102,22.99,73716,6
3733317,430288731,17370806,2607907,1862.0647,37133,-4598,28283391,0.941,-0.117,0.207,22.99,73714,6
3733373,430288770,17370548,2607924,1862.1918,37037,-4473,28243082,0.957,-0.113,0.191,22.99,73713,6
3733429,430288817,17370287,2608027,1862.6433,37011,-4402,28213531,0.918,-0.059,0.184,22.99,73709,6
3733485,430288862,17370031,2608139,1862.6433,36862,-4271,28224715,0.957,-0.094,0.219,22.99,73709,6
3733541,430288903,17369780,2608268,1862.7947,36828,-4207,28235282,1.078,-0.086,0.090,22.99,73707,6
3733597,430288957,17369525,2608376,1863.0435,36831,-4163,28243882,0.992,-0.039,0.113,22.99,73705,6
3733653,430289001,17369274,2608491,1863.3624,36762,-4119,28228125,0.934,-0.094,0.121,22.99,73702,6
3733709,430289043,17369025,2608560,1863.6003,36760,-4114,28222149,1.012,-0.074,0.168,22.99,73700,6
3733765,430289082,17368780,2608690,1864.0492,36720,-4223,28198299,0.938,-0.125,0.137,22.99,73696,6
3733821,430289117,17368539,2608971,1864.498,36666,-4552,28169023,0.965,-0.094,0.188,22.99,73692,6
3733877,430289154,17368298,2609289,1864.6846,36611,-4809,28146344,0.980,-0.086,0.199,22.99,73690,6
3733933,430289194,17368054,2609558,1864.9631,36559,-5010,28138729,0.953,-0.160,0.191,22.99,73688,6
3733989,430289235,17367810,2609843,1865.5309,36563,-5229,28111008,0.977,-0.117,0.102,22.99,73683,6
3734045,430289273,17367565,2610119,1865.5309,36473,-5339,28080605,0.965,-0.090,0.102,22.99,73683,6
3734101,430289308,17367320,2610433,1865.9012,36588,-5507,28059165,0.973,-0.129,0.172,22.99,73679,6
3734157,430289349,17367074,2610783,1866.1879,36445,-5469,28066079,0.891,-0.090,0.121,22.99,73677,6
3734213,430289396,17366824,2611121,1866.288,36312,-5429,28085490,0.984,0.066,0.168,22.99,73676,6
3734269,430289441,17366574,2611414,1866.653,36253,-5552,28116631,0.953,-0.219,-0.004,22.99,73673,6
3734325,430289487,17366316,2611601,1866.9801,36726,-4975,28119322,0.965,-0.152,0.121,22.99,73670,6
3734381,430289538,17366055,2611823,1867.3667,37047,-4639,28127503,1.000,-0.195,0.242,22.99,73666,6
3734437,430289584,17365797,2612067,1867.583,37175,-4514,28130776,0.969,0.012,0.160,22.99,73664,6
3734493,430289634,17365535,2612305,1867.875,37585,-4538,28175741,0.949,-0.043,0.121,22.99,73662,6
3734549,430289697,17365265,2612560,1868.3834,38546,-4729,28292157,0.977,-0.055,0.133,22.99,73657,6
3734605,430289761,17364993,2612811,1868.3834,39231,-4729,28382902,0.977,-0.070,0.145,22.99,73657,6
3734661,430289822,17364728,2613183,1868.7349,39358,-5151,28462651,0.934,-0.059,0.137,22.99,73654,6
3734717,430289883,17364462,2613548,1868.8971,39562,-5295,28512319,1.020,-0.035,0.207,22.99,73652,6
3734773,430289949,17364188,2613806,1869.0377,40075,-5027,28575844,1.055,-0.055,0.070,22.99,73651,6
3734829,430290006,17363927,2614121,1869.2864,39492,-4849,28550062,0.996,-0.086,0.172,22.99,73649,6
3734885,430290061,17363667,2614421,1869.3783,38983,-4788,28513437,1.023,-0.035,0.141,22.99,73648,6
3734941,430290117,17363409,2614696,1869.6515,38563,-4517,28487050,1.027,-0.094,0.059,22.99,73646,6
3734997,430290177,17363150,2614978,1869.7109,38292,-4361,28466667,1.020,-0.219,0.113,22.99,73645,6
3735053,430290236,17362891,2615274,1870.203,38292,-4223,28454665,0.992,-0.039,0.172,22.99,73641,6
3735109,430290287,17362639,2615562,1870.8248,37749,-4017,28393762,1.004,-0.031,0.156,22.99,73635,6
3735165,430290339,17362388,2615825,1870.8248,37468,-3888,28365112,1.020,-0.156,0.098,22.99,73635,6
3735221,430290385,17362135,2616120,1871.3224,37476,-4439,28314764,0.996,-0.039,0.059,22.99,73631,6
3735277,430290421,17361877,2616480,1871.3683,37785,-4999,28162875,0.988,0.016,0.117,22.99,73630,6
3735333,430290453,17361626,2616847,1871.6576,37545,-5226,28040585,1.027,-0.059,0.094,22.99,73628,6
3735389,430290474,17361378,2617129,1872.0199,37138,-4925,27876336,1.020,0.004,0.148,22.99,73624,6
3735445,430290509,17361117,2617311,1872.1957,37411,-4576,27853616,0.977,-0.027,0.160,23.00,73623,6
3735501,430290536,17360857,2617555,1872.5201,37576,-4358,27760562,0.977,-0.008,0.215,23.00,73620,6
3735557,430290590,17360582,2617671,1872.6797,38466,-4418,27920627,0.992,-0.055,0.023,23.00,73618,6
3735613,430290614,17360319,2617713,1872.8068,38388,-3829,27844895,0.980,-0.043,0.086,23.00,73617,6
3735669,430290648,17360058,2617894,1873.4502,38249,-4260,27874453,0.965,-0.066,0.086,22.99,73612,6
3735725,430290674,17359800,2618155,1873.4502,37992,-4452,27816086,0.988,-0.031,0.180,22.99,73612,6
3735781,430290702,17359542,2618413,1873.891,37748,-4539,27776071,0.992,-0.023,0.211,22.99,73608,6
3735837,430290740,17359286,2618704,1874.0613,37281,-4306,27777997,1.016,-0.039,0.094,22.99,73606,6
3735893,430290782,17359038,2619045,1874.2938,36611,-3905,27788757,1.027,0.027,0.141,22.99,73604,6
3735949,430290820,17358786,2619340,1874.6967,36557,-4232,27807809,0.922,-0.020,0.168,22.99,73600,6
3736005,430290855,17358537,2619636,1875.1293,36433,-4476,27814927,1.000,0.000,0.062,23.00,73596,6
3736061,430290897,17358281,2619981,1875.5835,36814,-4540,27815365,0.945,0.051,0.145,23.00,73592,6
3736117,430290938,17358023,2620290,1876.0079,37165,-4331,27818167,0.930,-0.020,0.090,23.00,73589,6
3736173,430290980,17357765,2620525,1876.2783,37413,-4228,27878821,0.918,-0.023,0.074,23.00,73586,6
3736229,430291038,17357503,2620753,1876.7488,37841,-4046,28034430,0.945,0.004,0.184,23.00,73582,6
3736285,430291096,17357243,2620989,1876.7488,38117,-3771,28138012,0.898,0.016,0.090,23.00,73582,6
3736341,430291159,17356980,2621227,1877.1544,38389,-3497,28237971,1.051,-0.012,0.211,22.99,73578,6
3736397,430291208,17356714,2621516,1877.2247,38867,-3605,28191383,0.930,-0.047,0.141,23.00,73578,6
3736453,430291254,17356448,2621792,1877.4437,39097,-3784,28152560,0.977,-0.094,0.207,22.99,73576,6
3736509,430291280,17356187,2622218,1877.733,39062,-3997,27969025,1.016,-0.059,0.164,22.99,73573,6
3736565,430291317,17355924,2622531,1877.7925,38831,-4212,27956140,0.953,-0.062,0.027,22.99,73573,6
3736621,430291381,17355646,2622826,1878.1548,39608,-4596,28101643,0.996,-0.062,0.121,22.99,73569,6
3736677,430291420,17355378,2623171,1878.2305,39597,-4202,28033974,1.012,-0.070,0.094,23.00,73569,6
3736733,430291464,17355109,2623522,1878.4603,39629,-4021,28014609,1.012,0.012,0.141,23.00,73567,6
3736789,430291507,17354841,2623865,1878.7334,39622,-3920,28011268,1.027,-0.059,0.121,23.00,73564,6
3736845,430291541,17354576,2624268,1878.7334,39644,-3982,27935503,1.016,-0.035,0.098,23.00,73564,6
3736901,430291574,17354310,2624684,1879.0281,39636,-4096,27874816,0.980,-0.043,0.113,23.00,73561,6
3736957,430291598,17354049,2625104,1879.1282,39254,-4295,27800146,1.016,-0.023,0.125,23.00,73561,6
3737013,430291626,17353786,2625535,1879.4742,39119,-4386,27751924,1.000,-0.051,0.109,23.00,73557,6
3737069,430291652,17353524,2625960,1879.7284,38966,-4465,27710992,1.004,-0.066,0.074,23.00,73555,6
3737125,430291683,17353257,2626370,1879.6527,39030,-4540,27713490,1.098,-0.027,0.105,23.00,73556,6
3737181,430291718,17352988,2626746,1879.8365,39192,-4627,27762131,1.016,-0.055,0.133,23.00,73554,6
3737237,430291754,17352718,2627137,1880.0475,39278,-4650,27804199,1.039,0.027,0.180,23.00,73552,6
3737293,430291787,17352450,2627527,1880.1664,39286,-4677,27811006,1.078,-0.004,0.133,23.00,73551,6
3737349,430291814,17352184,2627932,1880.534,39169,-4901,27774400,1.059,-0.062,0.094,23.00,73548,6
3737405,430291839,17351920,2628349,1880.534,38985,-5103,27735193,1.043,-0.047,0.105,23.00,73548,6
3737461,430291859,17351660,2628761,1880.9181,38592,-5410,27690536,1.094,-0.043,0.184,23.00,73545,6
3737517,430291879,17351400,2629191,1881.1344,38326,-5618,27640655,1.047,-0.027,0.184,23.00,73543,6
3737573,430291897,17351142,2629603,1881.2938,38059,-5849,27604752,1.027,-0.020,0.184,23.00,73541,6
3737629,430291919,17350878,2630013,1881.6481,38180,-5870,27587179,1.023,-0.059,0.082,23.00,73538,6
3737685,430291942,17350614,2630438,1881.9022,38283,-5836,27577787,1.031,-0.016,0.176,23.00,73536,6
3737741,430291965,17350350,2630861,1882.0266,38399,-5833,27566859,1.035,-0.062,0.141,23.00,73535,6
3737797,430291986,17350086,2631272,1882.2347,38369,-5747,27542881,1.031,-0.008,0.145,23.00,73533,6
3737853,430292006,17349823,2631699,1882.4537,38300,-5781,27517135,1.020,-0.027,0.168,23.00,73531,6
3737909,430292025,17349561,2632125,1882.762,38206,-5792,27513687,1.031,-0.012,0.102,23.00,73528,6
3737965,430292047,17349295,2632559,1882.762,38398,-5759,27506734,1.027,-0.062,0.125,23.00,73528,6
3738021,430292068,17349026,2632983,1883.1783,38643,-5748,27517890,1.043,-0.004,0.180,23.00,73524,6
3738077,430292088,17348758,2633421,1883.2893,38794,-5707,27503111,1.035,-0.070,0.129,23.00,73523,6
3738133,430292111,17348488,2633838,1883.4569,38958,-5681,27538032,1.020,-0.055,0.082,23.01,73522,6
3738189,430292129,17348221,2634275,1883.6677,38943,-5790,27519973,1.027,-0.117,0.121,23.00,73520,6
3738245,430292147,17347954,2634708,1883.884,38852,-5833,27527800,1.070,-0.059,0.098,23.00,73518,6
3738301,430292161,17347687,2635018,1884.1248,38835,-5531,27503870,1.023,-0.031,0.109,23.00,73516,6
3738357,430292169,17347423,2635306,1884.2897,38672,-5584,27475055,1.113,-0.094,0.141,23.00,73514,6
3738413,430292177,17347160,2635585,1884.5979,38503,-5649,27451251,1.043,-0.172,0.047,23.00,73511,6
3738469,430292187,17346891,2635770,1885.0629,38630,-5484,27482001,1.074,-0.082,0.105,23.01,73507,6
3738525,430292201,17346625,2636128,1885.0629,38738,-5763,27499686,1.094,-0.117,0.180,23.01,73507,6
3738581,430292215,17346358,2636506,1885.3766,38867,-5756,27470180,1.074,-0.082,0.121,23.01,73504,6
3738637,430292227,17346093,2636886,1885.5415,38802,-5806,27463984,1.113,-0.094,0.105,23.01,73503,6
3738693,430292241,17345828,2637265,1886.0093,38810,-5848,27472982,1.090,-0.016,0.066,23.01,73499,6
3738749,430292254,17345563,2637634,1886.3553,38826,-5952,27469720,1.129,-0.023,0.145,23.01,73496,6
3738805,430292266,17345298,2638005,1886.4067,38839,-6033,27465726,1.129,-0.039,0.105,23.01,73495,6
3738861,430292278,17345035,2638374,1886.6257,38725,-6002,27480174,1.156,0.027,0.184,23.01,73494,6
3738917,430292288,17344771,2638802,1886.8555,38880,-5987,27386036,1.027,0.125,0.098,23.00,73491,6
3738973,430292297,17344508,2639273,1886.9961,38742,-5890,27317199,1.133,0.180,0.102,23.01,73490,6
3739029,430292303,17344245,2639739,1887.3395,38790,-6101,27257171,1.109,0.254,0.102,23.01,73487,6
