millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,acc_x,acc_y,acc_z,temp,press,num_satellites
# { "g_press": 101160.27, "g_temp": 31.56, "datetime": "2023-03-04T15:18:39Z", "fw_version": "0.5.0-gps-testing+git-ace6d66" }
# Switched to mode: Climb
22145160,282392722,-821526392,1532126,1511.3239,40527,-5921,20855349,0.895,0.234,0.320,30.53,85156,5
22145216,282392497,-821526482,1532226,1511.5922,40656,-6393,20829065,0.879,0.215,0.320,30.52,85153,5
22145272,282392334,-821526591,1532672,1512.0895,40038,-6838,20877299,0.891,0.250,0.340,30.52,85148,5
22145328,282392158,-821526724,1533383,1512.6735,40531,-6620,20838740,0.879,0.230,0.328,30.52,85142,5
22145384,282391994,-821526881,1534009,1513.2156,40495,-6518,20804284,0.949,0.258,0.379,30.53,85137,5
22145440,282391835,-821527022,1534432,1513.4252,40370,-6683,20803687,0.914,0.305,0.395,30.53,85135,5
22145496,282391675,-821527164,1534716,1514.1516,40402,-6323,20773001,0.902,0.312,0.445,30.53,85128,5
22145552,282391523,-821527321,1535003,1514.1516,40462,-6475,20839792,0.922,0.297,0.441,30.53,85128,5
22145608,282391361,-821527462,1535213,1514.2411,40471,-6364,20803053,0.891,0.285,0.426,30.53,85127,5
22145664,282391194,-821527611,1535397,1514.3696,40566,-6421,20801559,0.910,0.312,0.441,30.53,85125,5
22145720,282391031,-821527748,1535648,1514.7915,40536,-6561,20835699,0.957,0.309,0.438,30.53,85121,5
22145776,282390862,-821527882,1535809,1515.124,40172,-6405,20832187,0.957,0.297,0.406,30.53,85118,5
22145832,282390692,-821528012,1536019,1515.5348,40397,-6636,20822759,1.012,0.320,0.422,30.53,85114,5
22145888,282390520,-821528134,1536276,1515.8058,40425,-6439,20797036,1.027,0.332,0.422,30.53,85111,5
22145944,282390352,-821528257,1536530,1516.1019,40470,-6560,20806912,1.016,0.352,0.406,30.53,85108,5
22146000,282390185,-821528382,1536783,1516.3339,40415,-6594,20848901,1.008,0.336,0.363,30.53,85106,5
22146056,282390010,-821528498,1537040,1516.9458,40416,-6686,20833091,0.977,0.332,0.387,30.53,85100,5
22146112,282389836,-821528615,1537326,1516.9458,40450,-6833,20843518,0.969,0.340,0.363,30.53,85100,5
22146168,282389661,-821528727,1537610,1517.9908,40445,-6794,20818783,0.922,0.258,0.340,30.53,85089,5
22146224,282389486,-821528840,1537886,1518.1976,40407,-6914,20849063,0.926,0.281,0.344,30.52,85087,5
22146280,282389310,-821528948,1538167,1518.6866,40124,-6882,20830345,0.941,0.246,0.355,30.52,85083,5
22146336,282389132,-821529051,1538455,1519.198,40400,-6817,20809539,0.926,0.238,0.367,30.52,85077,5
22146392,282388953,-821529151,1538732,1519.7931,40596,-6556,20791281,0.883,0.223,0.387,30.52,85072,5
22146448,282388775,-821529251,1539088,1520.0865,40263,-7067,20838508,0.906,0.203,0.387,30.53,85069,5
22146504,282388593,-821529352,1539398,1520.5503,40438,-7165,20865679,0.918,0.223,0.406,30.53,85064,5
22146560,282388411,-821529447,1539721,1520.7711,40373,-6847,20811723,0.887,0.223,0.363,30.52,85062,5
22146616,282388231,-821529549,1539994,1521.6233,40309,-6734,20781071,0.910,0.285,0.387,30.52,85053,5
22146672,282388049,-821529655,1540221,1521.6233,40560,-6528,20774372,0.902,0.281,0.406,30.52,85053,5
22146728,282387869,-821529758,1540478,1522.0089,40420,-6788,20785624,0.934,0.344,0.359,30.52,85050,5
22146784,282387689,-821529860,1540801,1522.294,40475,-7002,20813625,0.938,0.371,0.359,30.52,85047,5
22146840,282387505,-821529963,1541057,1522.7856,40630,-6921,20822673,0.941,0.391,0.395,30.52,85042,5
22146896,282387324,-821530068,1541316,1522.9841,40340,-6536,20853553,0.883,0.328,0.324,30.51,85040,5
22146952,282387140,-821530171,1541576,1523.6967,40603,-6567,20792316,0.859,0.309,0.289,30.51,85033,5
22147008,282386955,-821530272,1541863,1523.99,40627,-6731,20757948,0.883,0.324,0.309,30.51,85030,5
22147064,282386773,-821530375,1542217,1524.479,40459,-7009,20743198,0.887,0.285,0.289,30.51,85025,5
22147120,282386592,-821530477,1542583,1524.9344,40558,-6744,20780596,0.883,0.273,0.312,30.51,85020,5
22147176,282386412,-821530581,1542949,1525.8677,40516,-6887,20781810,0.852,0.230,0.324,30.50,85011,5
22147232,282386230,-821530686,1543251,1525.8677,40603,-6548,20762872,0.863,0.234,0.324,30.50,85011,5
22147288,282386048,-821530793,1543535,1526.0242,40635,-6523,20749840,0.875,0.262,0.348,30.49,85010,5
22147344,282385869,-821530900,1543853,1526.5691,40508,-6593,20784086,0.879,0.238,0.340,30.49,85004,5
22147400,282385685,-821531005,1544153,1526.8765,40756,-6768,20771264,0.855,0.234,0.328,30.49,85001,5
22147456,282385500,-821531110,1544474,1527.3151,40653,-6743,20810571,0.871,0.230,0.348,30.49,84997,5
22147512,282385314,-821531213,1544750,1527.8628,40597,-6533,20759213,0.836,0.227,0.348,30.49,84991,5
22147568,282385128,-821531315,1545035,1528.3434,40668,-6379,20742723,0.812,0.230,0.367,30.50,84987,5
22147624,282384943,-821531417,1545358,1528.7345,40654,-6495,20757534,0.832,0.238,0.363,30.50,84983,5
22147680,282384759,-821531519,1545685,1529.1173,40575,-6548,20776668,0.793,0.258,0.375,30.50,84979,5
22147736,282384573,-821531620,1546003,1529.936,40645,-6604,20777976,0.777,0.250,0.316,30.50,84971,5
22147792,282384383,-821531717,1546295,1529.936,40711,-6367,20723514,0.770,0.277,0.316,30.50,84971,5
22147848,282384193,-821531810,1546529,1530.819,40413,-5787,20610061,0.805,0.309,0.289,30.49,84962,5
22147904,282384001,-821531906,1546810,1531.1012,40884,-5857,20641994,0.809,0.316,0.348,30.49,84959,5
22147960,282383810,-821532003,1547067,1531.3164,40857,-5681,20640920,0.848,0.309,0.348,30.49,84957,5
22148016,282383621,-821532102,1547358,1531.6713,40758,-5813,20694679,0.906,0.371,0.375,30.49,84954,5
22148072,282383430,-821532196,1547664,1532.0066,40774,-6019,20679939,0.867,0.332,0.332,30.49,84951,5
22148128,282383236,-821532287,1547964,1532.2106,40873,-5841,20674245,0.930,0.328,0.363,30.49,84949,5
22148184,282383048,-821532382,1548262,1532.4341,40894,-5836,20678497,0.914,0.328,0.352,30.49,84946,5
22148240,282382859,-821532480,1548540,1532.5123,40951,-5895,20635637,0.887,0.293,0.344,30.49,84946,5
22148296,282382671,-821532577,1548823,1532.9929,40859,-5779,20644177,0.895,0.254,0.355,30.49,84941,5
22148352,282382484,-821532677,1549124,1533.0796,40801,-5925,20689875,0.918,0.289,0.375,30.49,84940,5
22148408,282382298,-821532775,1549446,1533.4009,40492,-6531,20721903,0.934,0.262,0.371,30.49,84937,5
22148464,282382112,-821532874,1549722,1533.915,40676,-6462,20703131,0.934,0.270,0.375,30.49,84932,5
22148520,282381927,-821532974,1550022,1534.1134,40746,-6359,20717303,0.953,0.270,0.371,30.49,84930,5
22148576,282381742,-821533073,1550304,1534.2699,40582,-6235,20650816,0.977,0.250,0.422,30.49,84928,5
22148632,282381559,-821533176,1550611,1534.7644,40880,-6128,20641636,0.988,0.273,0.426,30.49,84924,5
22148688,282381373,-821533275,1550915,1534.7281,40955,-6083,20651830,1.004,0.270,0.410,30.49,84924,5
22148744,282381187,-821533376,1551223,1535.3204,41057,-6140,20682211,1.008,0.242,0.430,30.49,84918,5
22148800,282381000,-821533478,1551501,1535.6027,40957,-5994,20650513,1.008,0.258,0.434,30.49,84915,5
22148856,282380811,-821533580,1551783,1536.1979,41127,-6151,20624802,1.008,0.273,0.441,30.49,84910,5
22148912,282380627,-821533685,1552088,1536.1979,40917,-6367,20623753,1.012,0.262,0.391,30.49,84910,5
22148968,282380441,-821533784,1552407,1536.5974,40819,-6394,20627836,0.977,0.270,0.383,30.49,84906,5
22149024,282380259,-821533888,1552761,1537.05,40830,-6551,20722682,0.965,0.250,0.359,30.49,84901,5
22149080,282380073,-821533990,1553122,1537.215,41004,-6817,20721386,0.973,0.293,0.383,30.49,84900,5
22149136,282379886,-821534086,1553459,1537.7235,40777,-6391,20643218,0.973,0.305,0.352,30.50,84895,5
22149192,282379701,-821534188,1553835,1538.0365,40896,-6479,20671288,0.961,0.301,0.359,30.50,84892,5
22149248,282379514,-821534287,1554180,1538.2739,40895,-6375,20625715,0.938,0.293,0.355,30.50,84889,5
22149304,282379325,-821534383,1554526,1538.6177,40926,-6525,20608877,0.930,0.293,0.340,30.50,84886,5
22149360,282379139,-821534482,1554915,1539.143,40951,-6829,20682191,0.914,0.277,0.332,30.50,84881,5
22149416,282378951,-821534581,1555221,1540.2188,40804,-6498,20649284,0.875,0.293,0.340,30.49,84870,5
22149472,282378761,-821534680,1555492,1540.2188,40893,-6256,20582840,0.855,0.277,0.340,30.49,84870,5
22149528,282378576,-821534789,1555794,1540.8474,41156,-6563,20633696,0.863,0.316,0.340,30.49,84864,5
22149584,282378394,-821534904,1556010,1541.1659,41117,-6373,20613215,0.887,0.305,0.359,30.48,84861,5
22149640,282378210,-821535012,1556261,1541.4398,40885,-6317,20608825,0.852,0.277,0.352,30.48,84859,5
22149696,282378025,-821535120,1556536,1541.7723,41261,-6253,20691198,0.867,0.270,0.352,30.48,84855,5
22149752,282377841,-821535226,1556797,1542.2081,41010,-6361,20664434,0.867,0.266,0.348,30.48,84851,5
22149808,282377654,-821535330,1557047,1542.6078,40946,-6358,20632445,0.898,0.285,0.359,30.48,84847,5
22149864,282377466,-821535433,1557291,1542.8174,41161,-6345,20598997,0.926,0.273,0.348,30.48,84845,5
22149920,282377278,-821535538,1557549,1543.3342,41022,-6167,20639859,0.938,0.254,0.375,30.47,84840,5
22149976,282377089,-821535642,1557845,1543.7366,41127,-6564,20679161,0.941,0.254,0.371,30.47,84836,5
22150032,282376902,-821535749,1558120,1544.016,41094,-6444,20689464,0.930,0.246,0.387,30.47,84833,5
22150088,282376714,-821535855,1558394,1544.2284,41054,-6366,20657028,0.973,0.262,0.391,30.47,84831,5
22150144,282376530,-821535962,1558706,1544.6196,40936,-6538,20689916,0.957,0.262,0.355,30.46,84828,5
22150200,282376344,-821536067,1558988,1544.8711,41034,-6333,20689787,0.977,0.289,0.387,30.46,84825,5
22150256,282376157,-821536175,1559290,1545.1113,41221,-6438,20698884,0.941,0.246,0.344,30.46,84823,5
22150312,282375971,-821536282,1559612,1545.4187,41317,-6660,20683818,0.938,0.270,0.383,30.46,84820,5
22150368,282375784,-821536388,1559923,1545.7736,41309,-6296,20705010,0.918,0.285,0.320,30.45,84816,5
22150424,282375598,-821536493,1560241,1545.9244,41151,-6470,20672892,0.934,0.266,0.320,30.45,84815,5
22150480,282375409,-821536594,1560560,1546.6007,41287,-6437,20642898,0.918,0.250,0.297,30.45,84808,5
22150536,282375224,-821536700,1560883,1547.5758,41052,-6565,20637303,0.930,0.250,0.328,30.45,84799,5
