millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,acc_x,acc_y,acc_z,temp,press,num_satellites
# { "g_press": 100993.52, "g_temp": 31.28, "datetime": "2023-03-02T20:46:32Z", "fw_version": "0.5.0-gps-testing+git-ace6d66" }
# Switched to mode: Climb
25150087,282790791,-821593902,1476865,1427.7832,52797,-5587,16260150,-0.961,-0.254,0.031,32.18,85832,5
25150140,282790524,-821593805,1477367,1428.1936,53134,-6231,16296856,-1.004,-0.262,0.027,32.18,85827,5
25150196,282790251,-821593716,1478107,1428.1936,53100,-6539,16315976,-1.008,-0.266,0.055,32.18,85827,5
25150252,282790007,-821593640,1478317,1428.8162,53101,-6608,16317223,-1.035,-0.270,0.039,32.18,85821,5
25150308,282789753,-821593566,1478333,1429.0032,53444,-6276,16315035,-1.039,-0.289,0.074,32.18,85819,5
25150364,282789498,-821593481,1478589,1429.2433,53635,-5629,16378126,-1.055,-0.293,0.105,32.18,85817,5
25150420,282789248,-821593395,1478800,1429.5922,53816,-5770,16346383,-1.078,-0.305,0.113,32.18,85814,5
25150476,282788987,-821593289,1479143,1429.6145,54037,-5973,16311093,-1.098,-0.305,0.105,32.18,85813,5
25150532,282788723,-821593185,1479495,1429.8937,54247,-6082,16280620,-1.109,-0.316,0.098,32.18,85811,5
25150588,282788445,-821593077,1479875,1430.4297,54457,-6096,16278166,-1.023,-0.289,0.090,32.18,85805,5
25150644,282788167,-821592970,1480313,1430.8373,54317,-6241,16287887,-1.047,-0.293,0.105,32.18,85801,5
25150700,282787900,-821592869,1480848,1431.9595,53833,-6734,16306528,-0.996,-0.254,0.102,32.18,85790,5
25150756,282787634,-821592766,1481471,1431.9595,53427,-7228,16329368,-1.008,-0.258,0.094,32.18,85790,5
25150812,282787368,-821592663,1481991,1432.4313,53496,-7250,16325879,-1.020,-0.230,0.105,32.18,85785,5
25150868,282787107,-821592568,1482490,1432.945,53584,-7240,16316817,-1.008,-0.242,0.109,32.18,85780,5
25150924,282786853,-821592483,1482825,1432.9226,53747,-7065,16307909,-1.012,-0.238,0.121,32.17,85780,5
25150980,282786601,-821592405,1483017,1433.1068,53836,-6798,16301515,-1.000,-0.234,0.102,32.18,85779,5
25151036,282786349,-821592327,1483268,1433.4613,53840,-7028,16312443,-0.980,-0.242,0.098,32.18,85775,5
25151092,282786100,-821592251,1483311,1433.9443,53681,-6673,16293093,-1.004,-0.230,0.070,32.18,85770,5
25151148,282785846,-821592173,1483273,1434.3882,53522,-6525,16297126,-0.996,-0.238,0.074,32.18,85766,5
25151204,282785589,-821592093,1483286,1434.7874,53480,-6381,16307214,-0.973,-0.242,0.098,32.18,85762,5
25151260,282785330,-821592010,1483343,1435.8119,53424,-6192,16321828,-1.004,-0.266,0.074,32.17,85752,5
25151316,282785072,-821591928,1483401,1435.8119,53260,-6128,16340299,-1.008,-0.266,0.074,32.17,85752,5
25151372,282784816,-821591848,1483436,1436.7917,53152,-6050,16350343,-1.000,-0.270,0.086,32.18,85742,5
25151428,282784563,-821591771,1483438,1436.6271,53058,-5937,16357849,-1.027,-0.277,0.105,32.18,85744,5
25151484,282784307,-821591693,1483484,1437.1044,53167,-5934,16383134,-1.078,-0.285,0.059,32.18,85739,5
25151540,282784049,-821591615,1483523,1437.4785,53239,-5863,16398831,-1.102,-0.301,0.086,32.18,85735,5
25151596,282783792,-821591538,1483545,1437.8638,53281,-5827,16405220,-1.082,-0.297,0.086,32.18,85731,5
25151652,282783535,-821591461,1483616,1438.0814,53308,-5815,16406582,-1.109,-0.293,0.086,32.18,85729,5
25151708,282783278,-821591385,1483728,1438.0898,53416,-5851,16409711,-1.109,-0.289,0.094,32.18,85729,5
25151764,282783018,-821591305,1483836,1438.4779,53732,-5584,16401206,-1.090,-0.281,0.082,32.18,85725,5
25151820,282782757,-821591223,1483918,1439.4354,53936,-5406,16397714,-1.062,-0.289,0.078,32.18,85716,5
