millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,acc_x,acc_y,acc_z,temp,press,num_satellites
# { "g_press": 101416.05, "g_temp": 29.46, "datetime": "2023-03-02T14:53:37Z", "fw_version": "0.5.0-gps-testing+git-ace6d66" }
# Switched to mode: Climb
4850927,282528706,-821493189,180584,286.17398,58697,-7495,,-0.648,0.066,0.688,29.83,98186,4
4851092,282529792,-821491209,181917,287.05365,58773,-5914,34301023,-0.617,0.031,0.633,29.83,98176,4
4851260,282530688,-821492220,179036,288.1775,58862,-6018,34244508,-0.641,0.047,0.656,29.83,98164,4
4851316,282530898,-821492967,180456,288.1775,58869,-6034,34306844,-0.648,0.125,0.684,29.83,98164,4
4851372,282531032,-821494227,182355,288.541,58688,-6710,34343044,-0.664,0.094,0.672,29.83,98160,4
4851428,282531274,-821494756,182701,288.5965,58702,-6096,34301906,-0.668,0.070,0.684,29.83,98159,4
4851484,282522643,-821547384,299206,288.76852,58652,-6080,34312634,-0.691,0.113,0.719,29.83,98157,5
4851540,282522718,-821548742,301611,288.9489,59009,-6379,34322560,-0.695,0.090,0.695,29.83,98155,5
4851596,282523041,-821548618,300870,289.182,58728,-6458,34338197,-0.699,0.113,0.699,29.83,98152,4
4851652,282523362,-821548530,300348,289.24304,58616,-6536,34327550,-0.730,0.102,0.738,29.83,98152,4
4851708,282523672,-821548459,300208,289.50665,58545,-6544,34308430,-0.676,0.113,0.695,29.83,98149,4
4851764,282523886,-821548996,301285,289.72034,58746,-6052,34305393,-0.680,0.121,0.676,29.83,98146,5
4851820,282524145,-821549256,301711,290.79144,59036,-5894,34303747,-0.637,0.152,0.711,29.83,98134,5
4851876,282524407,-821549464,302129,290.79144,58554,-6734,34341391,-0.641,0.109,0.602,29.83,98134,5
4851932,282524687,-821549625,302294,291.21878,58555,-6431,34317055,-0.680,0.168,0.691,29.83,98130,5
4851988,282524974,-821549753,302377,291.59894,58595,-6369,34318811,-0.711,0.188,0.695,29.83,98125,5
4852044,282525260,-821549881,302418,292.03738,58585,-6413,34316580,-0.672,0.168,0.699,29.83,98121,5
4852100,282525546,-821549977,302590,292.3648,58846,-6198,34325422,-0.676,0.133,0.703,29.83,98117,5
4852156,282525833,-821550090,302636,292.745,58942,-5964,34302235,-0.695,0.117,0.672,29.83,98113,5
4852212,282526111,-821550197,302977,293.08353,58596,-6339,34327762,-0.695,0.094,0.676,29.83,98109,5
4852268,282526395,-821550288,303133,293.3638,58474,-6425,34328904,-0.648,0.070,0.648,29.83,98106,5
4852324,282526690,-821550378,303141,293.79944,58632,-6775,34379224,-0.676,0.086,0.664,29.83,98101,5
4852380,282526990,-821550441,303077,294.88443,58351,-7000,34396392,-0.660,0.109,0.633,29.83,98089,5
4852436,282527288,-821550528,303023,294.88443,58365,-6607,34347326,-0.656,0.098,0.625,29.83,98089,5
4852492,282527592,-821550595,302896,295.81125,58242,-6328,34332680,-0.660,0.109,0.629,29.83,98078,5
4852548,282527903,-821550653,302747,295.9833,58757,-6103,34346715,-0.688,0.027,0.598,29.83,98076,5
4852604,282528211,-821550700,302656,296.31628,58626,-6205,34336378,-0.652,0.020,0.551,29.83,98073,5
4852660,282528512,-821550771,302698,296.76306,58515,-6116,34317291,-0.668,0.020,0.605,29.83,98068,5
4852716,282528814,-821550838,302689,297.04333,58649,-6007,34361638,-0.652,0.031,0.637,29.83,98065,5
4852772,282529112,-821550897,302774,297.41516,58038,-6561,34349253,-0.613,0.047,0.605,29.83,98060,5
4852828,282529410,-821550962,302838,297.67877,58318,-6486,34386574,-0.652,0.078,0.719,29.83,98058,5
4852884,282529708,-821551034,302883,298.05615,58506,-6012,34353640,-0.605,0.043,0.695,29.83,98053,5
4852940,282530004,-821551100,303021,298.6361,58568,-6156,34362364,-0.617,0.098,0.699,29.84,98047,5
4852996,282530300,-821551172,303158,298.6361,58670,-5775,34355034,-0.590,0.094,0.672,29.84,98047,5
4853052,282530590,-821551248,303443,299.069,58531,-5817,34332970,-0.617,0.098,0.660,29.84,98042,5
4853108,282530881,-821551321,303694,299.1467,58331,-6046,34347187,-0.609,0.098,0.707,29.84,98041,5
4853164,282531171,-821551394,303963,299.47693,58286,-6294,34375210,-0.637,0.133,0.660,29.84,98037,5
4853220,282531454,-821551488,304329,299.82935,58280,-6234,34379954,-0.625,0.121,0.730,29.84,98034,5
4853276,282531739,-821551574,304668,300.16232,58322,-6176,34374381,-0.609,0.098,0.691,29.84,98030,5
4853332,282532024,-821551656,304990,300.50363,58526,-5722,34391268,-0.641,0.113,0.730,29.83,98026,5
4853388,282532308,-821551739,305268,300.68954,58453,-5401,34329755,-0.656,0.133,0.711,29.83,98024,5
4853444,282532595,-821551811,305544,301.1058,58536,-5747,34362172,-0.617,0.133,0.684,29.83,98019,5
4853500,282532878,-821551892,305839,301.572,58402,-5915,34380110,-0.684,0.156,0.746,29.83,98014,5
4853556,282533158,-821551977,306093,301.572,57887,-6030,34355833,-0.645,0.117,0.723,29.83,98014,5
4853612,282533442,-821552052,306352,302.23242,58325,-5941,34390804,-0.648,0.168,0.730,29.83,98007,5
4853668,282533728,-821552126,306565,302.38782,58246,-5945,34390938,-0.664,0.121,0.672,29.83,98005,5
4853724,282534012,-821552213,306835,302.51822,58262,-5939,34392623,-0.645,0.070,0.652,29.83,98003,5
4853780,282534295,-821552304,307172,302.9067,58629,-5700,34371639,-0.672,0.031,0.621,29.83,97999,5
4853836,282534574,-821552400,307599,303.2758,58298,-5724,34374222,-0.684,0.051,0.602,29.83,97995,5
4853892,282534854,-821552491,307963,303.64206,58105,-5688,34379983,-0.703,0.059,0.586,29.83,97991,5
4853948,282535137,-821552581,308322,303.88626,58301,-5756,34379326,-0.676,0.043,0.676,29.84,97988,5
4854004,282535424,-821552667,308540,304.08884,58574,-5061,34352642,-0.688,0.016,0.680,29.83,97986,5
4854060,282535713,-821552748,308743,304.34134,58695,-4765,34336626,-0.711,0.133,0.820,29.84,97983,5
4854116,282536001,-821552826,309026,304.34134,58640,-5002,34359001,-0.699,0.082,0.758,29.84,97983,5
4854172,282536291,-821552894,309262,304.43015,58630,-5108,34358250,-0.625,0.062,0.785,29.84,97982,5
4854228,282536575,-821552972,309607,304.5994,58306,-5452,34394785,-0.699,0.137,0.832,29.84,97980,5
4854284,282536855,-821553062,310048,304.83527,58077,-5822,34430581,-0.668,0.113,0.805,29.84,97978,5
4854340,282537139,-821553143,310359,305.0434,57876,-5867,34404092,-0.629,0.047,0.797,29.84,97975,5
4854396,282537424,-821553231,310726,305.7399,58211,-6090,34444220,-0.648,0.086,0.754,29.84,97968,6
4854452,282537708,-821553317,311062,306.05347,57902,-6099,34428194,-0.645,0.105,0.750,29.84,97964,6
4854508,282537986,-821553412,311476,306.46414,57827,-6191,34433636,-0.629,0.113,0.730,29.84,97959,6
4854564,282538250,-821553571,312233,306.90814,58006,-6047,34400446,-0.633,0.141,0.738,29.84,97954,7
4854620,282538516,-821553720,312978,307.95428,58082,-5899,34401933,-0.645,0.133,0.734,29.84,97943,7
4854676,282538786,-821553857,313669,307.95428,58110,-5715,34382451,-0.641,0.074,0.688,29.84,97943,7
4854732,282539057,-821553987,314322,308.59805,58098,-5822,34390548,-0.629,0.090,0.672,29.84,97936,7
4854788,282539326,-821554117,315012,308.82004,58097,-5919,34392939,-0.586,0.148,0.680,29.84,97933,7
4854844,282539596,-821554238,315697,309.1475,57940,-6049,34372289,-0.637,0.109,0.660,29.84,97929,7
4854900,282539868,-821554354,316343,309.58594,57858,-6091,34394762,-0.621,0.113,0.656,29.84,97925,7
4854956,282540142,-821554458,316894,309.9966,57808,-5944,34374714,-0.621,0.074,0.617,29.84,97920,7
4855012,282540420,-821554557,317366,310.1964,57971,-5779,34371917,-0.680,0.094,0.676,29.84,97918,7
4855068,282540699,-821554657,317863,310.57657,58018,-5671,34386441,-0.695,0.047,0.633,29.84,97913,7
4855124,282540979,-821554751,318315,310.76526,58173,-5584,34374190,-0.723,0.027,0.656,29.84,97911,7
4855180,282541258,-821554844,318723,311.16486,58013,-5506,34362892,-0.746,0.031,0.695,29.84,97907,7
4855236,282541538,-821554935,319056,311.16486,57984,-5338,34357593,-0.750,0.070,0.797,29.84,97907,7
4855292,282541816,-821555032,319451,311.3147,57950,-5553,34338748,-0.750,0.090,0.832,29.84,97905,7
4855348,282542092,-821555126,319845,311.5478,58046,-5687,34383645,-0.695,0.102,0.820,29.84,97903,7
4855404,282542365,-821555222,320340,311.63104,57980,-6031,34385664,-0.738,0.195,0.902,29.84,97902,7
4855460,282542636,-821555324,320863,311.78366,57813,-5945,34361527,-0.711,0.191,0.898,29.84,97900,7
4855516,282542907,-821555425,321407,312.03894,57814,-5881,34356092,-0.707,0.184,0.902,29.84,97897,7
4855572,282543177,-821555529,321960,312.20544,57881,-5836,34359281,-0.723,0.172,0.871,29.84,97895,7
4855628,282543447,-821555630,322509,312.41357,57981,-5922,34357464,-0.754,0.160,0.875,29.84,97893,7
4855684,282543715,-821555731,323119,312.55508,57688,-6478,34368838,-0.754,0.117,0.852,29.84,97891,7
4855740,282543985,-821555833,323694,313.0629,57803,-6592,34345716,-0.754,0.109,0.820,29.84,97886,7
4855796,282544254,-821555936,324283,313.0629,57644,-6701,34355527,-0.770,0.086,0.793,29.84,97886,7
4855852,282544523,-821556037,324844,313.35425,57708,-6564,34361698,-0.750,0.117,0.809,29.84,97882,7
4855908,282544791,-821556137,325446,313.78992,57510,-6673,34374657,-0.715,0.102,0.734,29.84,97878,7
4855964,282545058,-821556238,326040,314.07297,57613,-6705,34347370,-0.703,0.102,0.727,29.84,97874,7
4856020,282545326,-821556338,326631,314.72784,57457,-6717,34346937,-0.680,0.109,0.684,29.84,97867,7
4856076,282545596,-821556438,327192,315.08582,57623,-6770,34330238,-0.668,0.109,0.664,29.84,97863,7
4856132,282545864,-821556538,327809,315.4521,57640,-6911,34352057,-0.656,0.117,0.645,29.85,97859,7
4856188,282546132,-821556640,328408,316.06256,57647,-6850,34329207,-0.648,0.102,0.656,29.85,97852,7
4856244,282546400,-821556740,329028,316.58148,57562,-6804,34326030,-0.676,0.117,0.664,29.85,97846,7
4856300,282546671,-821556840,329607,317.3418,57677,-6812,34318225,-0.660,0.039,0.605,29.85,97838,7
4856356,282546941,-821556917,330326,317.3418,57664,-7136,34342388,-0.676,0.098,0.684,29.85,97838,7
4856412,282547212,-821556992,330978,317.78302,57263,-7312,34345390,-0.668,0.133,0.723,29.85,97833,7
4856468,282547487,-821557064,331562,318.338,57380,-7183,34369452,-0.648,0.082,0.641,29.85,97827,7
4856524,282547760,-821557147,332148,318.71817,57489,-6963,34354622,-0.664,0.055,0.680,29.85,97822,7
4856580,282548029,-821557237,332814,318.91797,57324,-7171,34353204,-0.668,0.117,0.695,29.85,97820,7
4856636,282548256,-821557416,334717,319.2898,57661,-7205,34397194,-0.680,0.180,0.742,29.85,97816,9
4856692,282548527,-821557512,335393,319.76154,57498,-7247,34378111,-0.676,0.168,0.809,29.85,97811,8
4856748,282548798,-821557608,336054,320.1528,57222,-7332,34372792,-0.684,0.184,0.801,29.85,97806,8
4856804,282549069,-821557704,336719,320.4969,57247,-7323,34383987,-0.680,0.211,0.840,29.85,97803,8
4856860,282549302,-821557873,338467,321.03522,57346,-7361,34384857,-0.711,0.145,0.840,29.85,97797,9
4856916,282549541,-821558034,340091,321.03522,57283,-7265,34383272,-0.695,0.109,0.789,29.85,97797,9
4856972,282549782,-821558188,341706,321.37097,57504,-7553,34427537,-0.672,0.117,0.785,29.85,97793,9
4857028,282550020,-821558344,343287,322.07025,57106,-7553,34397914,-0.660,0.070,0.656,29.85,97785,10
4857084,282550264,-821558494,344711,322.07025,57465,-6858,34377502,-0.641,0.098,0.676,29.85,97785,10
4857140,282550511,-821558639,346090,322.2118,57568,-6627,34368090,-0.617,0.074,0.617,29.85,97783,10
4857196,282550757,-821558784,347449,322.36996,57366,-6280,34381991,-0.574,0.082,0.625,29.85,97782,10
4857252,282551007,-821558924,348761,323.1414,57673,-6665,34349888,-0.629,0.074,0.574,29.85,97773,9
4857308,282551255,-821559067,350098,323.3467,57545,-6857,34342438,-0.617,0.059,0.609,29.85,97771,10
4857364,282551506,-821559205,351337,323.824,57568,-6516,34336195,-0.602,0.102,0.590,29.85,97765,10
4857420,282551757,-821559337,352605,324.78412,57378,-6876,34355059,-0.672,0.176,0.750,29.85,97755,10
4857476,282552050,-821559395,352663,324.78412,57131,-7166,34381575,-0.652,0.164,0.758,29.85,97755,12
4857532,282552346,-821559453,352692,325.18094,57211,-7163,34409165,-0.668,0.117,0.742,29.85,97750,12
4857588,282552615,-821559560,353564,325.31137,57316,-7270,34417007,-0.691,0.168,0.801,29.85,97749,12
4857644,282552884,-821559661,354406,325.40015,57091,-7322,34430849,-0.727,0.047,0.695,29.86,97748,12
4857700,282553153,-821559764,355250,325.55832,57102,-7482,34429408,-0.746,0.035,0.734,29.86,97746,12
4857756,282553462,-821559806,355010,325.76367,57369,-7781,34431789,-0.754,0.012,0.770,29.86,97744,13
4857812,282553765,-821559857,354847,325.9274,57141,-7477,34444965,-0.770,0.047,0.809,29.85,97742,13
4857868,282554065,-821559914,354764,326.20212,57074,-7487,34423622,-0.777,0.094,0.816,29.86,97739,13
4857924,282554365,-821559971,354680,326.38525,57019,-7364,34436771,-0.750,0.109,0.895,29.86,97737,13
4857980,282554668,-821560027,354478,326.93192,57172,-7345,34413176,-0.719,0.164,0.836,29.86,97731,13
4858036,282554972,-821560081,354247,326.93192,57136,-7274,34417793,-0.719,0.105,0.777,29.86,97731,13
4858092,282555273,-821560140,354094,327.3648,57154,-7279,34423710,-0.719,0.094,0.777,29.86,97726,13
4858148,282555574,-821560200,353958,327.68112,57238,-7242,34421795,-0.738,0.168,0.816,29.86,97722,13
4858204,282555876,-821560261,353788,328.25278,57212,-6954,34427502,-0.723,0.156,0.820,29.86,97716,13
4858260,282556171,-821560329,353805,328.59686,57066,-7182,34425307,-0.781,0.113,0.824,29.86,97712,13
4858316,282556467,-821560396,353832,328.81052,57100,-7449,34439184,-0.770,0.094,0.785,29.86,97710,13
4858372,282556764,-821560461,353863,329.04083,57133,-7705,34463388,-0.820,0.113,0.902,29.86,97707,13
4858428,282557059,-821560531,353948,329.19067,57101,-7745,34459766,-0.809,0.113,0.867,29.86,97706,13
4858484,282557351,-821560602,354062,329.3655,56999,-7617,34449969,-0.844,0.090,0.879,29.86,97704,13
4858540,282557640,-821560675,354248,329.8983,56849,-7817,34454191,-0.859,0.137,0.961,29.86,97698,13
4858596,282557929,-821560747,354453,329.8983,56969,-8031,34462241,-0.871,0.152,0.984,29.86,97698,13
4858652,282558219,-821560816,354632,330.1841,56756,-8407,34476101,-0.801,0.148,0.926,29.86,97694,13
4858708,282558510,-821560891,354753,330.6392,56938,-8021,34452182,-0.797,0.215,0.949,29.86,97689,13
4858764,282558803,-821560967,354741,330.9916,57185,-7293,34443416,-0.809,0.203,0.922,29.86,97685,13
4858820,282559095,-821561040,354789,331.65204,57057,-7563,34444942,-0.762,0.168,0.844,29.86,97678,13
4858876,282559380,-821561109,355091,332.15152,56711,-8404,34498065,-0.789,0.125,0.793,29.86,97672,13
4858932,282559667,-821561181,355367,332.82028,56991,-8259,34485905,-0.742,0.105,0.691,29.86,97665,13
4858988,282559949,-821561255,355641,333.5806,56805,-8377,34470670,-0.703,0.105,0.723,29.86,97656,12
4859044,282560230,-821561329,355893,334.06345,56660,-7908,34448693,-0.715,0.109,0.641,29.86,97651,12
4859100,282560513,-821561402,356154,335.7173,56863,-8028,34488661,-0.672,0.137,0.672,29.86,97633,12
4859156,282560795,-821561475,356444,335.7173,56805,-8151,34508179,-0.676,0.062,0.559,29.86,97633,12
4859212,282561076,-821561549,356772,336.55252,56641,-8291,34491645,-0.660,0.031,0.566,29.86,97623,12
4859268,282561358,-821561623,357071,337.24625,56716,-8099,34501802,-0.715,0.137,0.617,29.86,97616,12
4859324,282561638,-821561698,357420,337.69025,56596,-8349,34513772,-0.695,0.160,0.598,29.86,97611,12
4859380,282561918,-821561772,357827,338.21194,56551,-8627,34525192,-0.691,0.117,0.645,29.86,97605,12
4859436,282562198,-821561851,358215,338.8113,56695,-8374,34514301,-0.660,0.094,0.625,29.86,97598,11
4859492,282562480,-821561929,358522,339.41345,56595,-8155,34517735,-0.699,0.074,0.652,29.86,97591,12
4859548,282562760,-821562007,358865,340.13217,56418,-8382,34504790,-0.672,0.086,0.633,29.86,97583,12
4859604,282563042,-821562084,359216,340.812,56401,-8347,34528109,-0.625,0.109,0.672,29.86,97576,12
4859660,282563324,-821562160,359583,341.68613,56559,-8327,34554187,-0.590,0.148,0.707,29.86,97566,12
4859716,282563604,-821562236,359951,341.68613,56534,-8307,34545199,-0.629,0.145,0.699,29.86,97566,12
4859772,282563886,-821562315,360245,342.3077,56498,-7878,34518684,-0.621,0.172,0.684,29.87,97559,12
4859828,282564162,-821562394,360659,342.75446,56332,-8134,34528273,-0.578,0.129,0.695,29.87,97554,12
4859884,282564434,-821562483,361365,343.37326,56407,-8245,34546120,-0.637,0.145,0.719,29.87,97547,12
4859940,282564705,-821562572,362054,343.78397,56385,-8232,34552988,-0.637,0.160,0.680,29.87,97543,13
4859996,282564976,-821562659,362733,344.20853,56369,-8121,34562806,-0.633,0.145,0.688,29.87,97538,13
4860052,282565247,-821562747,363412,344.44717,56346,-8034,34558216,-0.621,0.156,0.652,29.87,97535,13
4860108,282565518,-821562835,364111,344.89114,56352,-8051,34573414,-0.672,0.094,0.617,29.87,97530,13
