millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,acc_x,acc_y,acc_z,temp,press,num_satellites
# { "g_press": 101652.40, "g_temp": 35.39, "datetime": "2023-03-05T14:12:15Z", "fw_version": "0.5.0-gps-testing+git-ace6d66" }
# Switched to mode: Climb
16496061,282745832,-821341331,1803376,1743.0463,47959,-6739,16245481,1.008,0.207,-0.070,35.48,83507,4
16496173,282745395,-821340940,1801575,1743.4254,48324,-6424,16141481,1.027,0.203,-0.074,35.48,83504,4
16496229,282745162,-821341064,1801172,1743.9913,48010,-6410,16212352,1.035,0.188,-0.066,35.48,83498,4
16496285,282744969,-821341119,1799923,1744.2148,48067,-6640,16193153,1.035,0.184,-0.059,35.48,83496,4
16496341,282744742,-821341120,1798604,1744.7467,48187,-7055,16252640,1.023,0.191,-0.039,35.48,83491,4
16496397,282744532,-821341105,1797631,1745.5078,47904,-7116,16252729,1.008,0.199,-0.055,35.48,83484,4
16496453,282744314,-821341022,1797804,1745.5078,47858,-6658,16265435,1.023,0.195,-0.090,35.48,83484,4
16496509,282744091,-821340921,1798048,1745.7313,47987,-6607,16266632,1.016,0.199,-0.090,35.48,83481,4
16496565,282743860,-821340765,1798783,1746.2264,48235,-6911,16312613,0.996,0.195,-0.086,35.48,83477,4
16496621,282743658,-821340699,1798697,1746.6508,48039,-6699,16345172,1.008,0.195,-0.102,35.48,83472,4
16496677,282743442,-821340627,1798718,1747.1912,47966,-6900,16341273,1.008,0.191,-0.090,35.48,83467,4
16496733,282743225,-821340493,1799235,1747.5449,48002,-6815,16327566,1.016,0.191,-0.102,35.48,83464,4
16496789,282742994,-821340447,1799227,1747.6042,47779,-6612,16345873,1.004,0.199,-0.074,35.48,83463,4
16496845,282742762,-821340396,1799180,1747.9778,47737,-6387,16336430,1.012,0.191,-0.094,35.48,83460,4
16496901,282742529,-821340380,1798799,1748.7134,47829,-6109,16306823,1.012,0.191,-0.082,35.48,83452,4
16496957,282742298,-821340347,1798651,1749.3442,47836,-5985,16309840,1.012,0.211,-0.078,35.48,83446,4
16497013,282742062,-821340334,1798457,1749.3442,48032,-5895,16350171,1.008,0.211,-0.062,35.48,83446,4
16497069,282741825,-821340372,1797967,1749.4546,47815,-6578,16459915,1.023,0.203,-0.051,35.48,83445,4
16497125,282741588,-821340405,1797615,1749.9554,47608,-6967,16528774,1.027,0.207,-0.027,35.48,83440,4
16497181,282741353,-821340427,1797341,1750.2468,47468,-6922,16527538,1.031,0.188,-0.020,35.48,83438,4
16497237,282741121,-821340406,1797401,1750.8467,47531,-6189,16467848,1.023,0.195,0.000,35.48,83432,4
16497293,282740887,-821340376,1797560,1750.8721,47436,-6008,16484760,1.035,0.188,-0.008,35.48,83432,4
