millis,lat,long,h_msl,baro_alt,speed_h,speed_v,heading,acc_x,acc_y,acc_z,temp,press,num_satellites
# { "g_press": 101222.58, "g_temp": 31.92, "datetime": "2023-03-04T19:52:36Z", "fw_version": "0.5.0-gps-testing+git-ace6d66" }
# Switched to mode: Climb
30485072,282954909,-821350309,843362,847.10034,51383,-9550,887099,0.938,-0.020,0.094,32.46,91986,4
30485128,282955100,-821350339,842784,847.43884,51479,-9586,893094,0.953,-0.039,0.047,32.46,91982,4
30485184,282955375,-821350290,842481,847.69617,51276,-9362,883112,0.988,-0.051,0.098,32.46,91980,4
30485240,282955679,-821350227,842043,848.085,51474,-9133,889596,1.012,-0.031,0.129,32.46,91976,4
30485296,282955963,-821350168,841518,848.60535,51589,-8652,884011,1.016,-0.043,0.113,32.46,91970,4
30485352,282956236,-821350116,841231,849.2963,51572,-8255,881751,1.012,-0.047,0.125,32.46,91963,4
30485408,282956512,-821350054,841232,849.40546,51733,-7940,889814,0.992,-0.059,0.113,32.46,91962,4
30485464,282956793,-821349980,841285,850.1076,51914,-7709,899043,1.012,-0.027,0.105,32.46,91954,4
30485520,282957074,-821349907,841163,850.1076,51754,-7188,887139,0.977,-0.051,0.062,32.46,91954,4
30485576,282957353,-821349844,840601,850.544,52184,-6675,912183,1.000,-0.043,0.098,32.46,91950,4
30485632,282957622,-821349778,840299,851.02515,52153,-6306,914598,0.977,-0.031,0.113,32.46,91945,4
30485688,282957891,-821349712,839940,851.3749,51893,-6110,877121,0.969,-0.016,0.070,32.46,91941,4
30485744,282958160,-821349647,839628,851.72736,52119,-5639,903826,0.984,0.004,0.059,32.46,91937,4
30485800,282958428,-821349583,839437,852.14417,52330,-5117,938096,0.957,-0.012,0.074,32.46,91933,4
30485856,282958687,-821349524,839439,852.4435,52357,-5521,955701,0.965,-0.008,0.074,32.46,91930,4
30485912,282958943,-821349468,839421,852.8687,52333,-5830,972110,0.945,-0.012,0.055,32.46,91925,4
30485968,282959200,-821349409,839404,853.168,52261,-6031,992073,0.953,0.000,0.059,32.46,91922,4
30486024,282959459,-821349352,839520,854.1779,52202,-6260,1003132,0.961,-0.004,0.102,32.46,91912,4
30486080,282959721,-821349290,839800,854.1779,52102,-6440,1012660,0.949,-0.012,0.098,32.46,91912,4
30486136,282959982,-821349229,840124,854.92487,51996,-6621,1017088,0.938,-0.012,0.082,32.46,91904,4
30486192,282960241,-821349168,840473,854.9444,51896,-6718,1028818,0.980,0.004,0.086,32.46,91904,4
30486248,282960503,-821349107,840794,855.4815,51740,-6882,1027907,0.961,0.000,0.082,32.46,91898,4
30486304,282960763,-821349047,841224,855.6606,51720,-7279,1031791,0.953,0.012,0.102,32.45,91896,4
30486360,282961027,-821348984,841453,855.8536,51788,-7065,1029863,0.953,0.000,0.074,32.45,91894,4
30486416,282961288,-821348923,841725,856.1641,51733,-6932,1021476,0.977,0.020,0.109,32.45,91891,4
30486472,282961548,-821348857,842004,856.6481,51718,-6761,1025533,0.973,-0.008,0.090,32.45,91886,4
30486528,282961806,-821348793,842256,856.9642,51726,-6788,1009231,0.965,0.008,0.109,32.45,91882,4
30486584,282962066,-821348727,842577,857.644,51725,-6652,1014049,0.992,0.035,0.098,32.45,91875,4
30486640,282962322,-821348663,842917,857.644,51676,-6609,1009324,0.977,0.020,0.121,32.45,91875,4
30486696,282962581,-821348597,843389,858.3182,51890,-6554,1018208,0.965,0.023,0.117,32.45,91868,4
30486752,282962841,-821348534,843753,858.45526,51747,-6527,1012339,0.980,0.047,0.109,32.46,91867,4
30486808,282963102,-821348473,844167,858.8553,51872,-6467,1021492,0.961,0.031,0.102,32.45,91863,4
